Shared_Vars
A19300
N02300
A03300
N11902
A03210
N03240
PREP
A07180
N00700
A10960
A07300
A03240
MARS4
N00200
N01700
N01400
A07240
A11901
N19300
A00700
N09400
N07260
A02900
A18300
N00600
N10600
N10300
A00650
N07230
N11070
A02300
MARS2
A07230
A03220
A06500
N03300
N18425
N59720
A03230
N1
A19700
A02500
A04470
N00300
MARS1
A00200
A09400
N02500
N59660
N04470
N11901
A85300
A09600
N05800
N18300
A00100
A10600
STATE
A01000
A18500
N03220
N00650
STATEFIPS
N04800
N07240
A01400
N07300
A59660
N06500
N03230
A00600
N19700
A11070
A03150
N03270
A59720
A18425
N09600
A07220
A07100
N03210
N07100
A03270
N18500
AGI_STUB
N10960
N2
N01000
A10300
N26270
A07260
N85300
A05800
A26270
N00900
N07180
A18450
A00300
A02650
A01700
NUMDEP
N02900
N18450
N03150
N02650
A00101
A00900
ZIPCODE
SCHF
A04800
N07220
A11902
