Year,Filename,Num_Unique_Vars,Unique_Vars
2015,15zpallagi.csv,0,
2016,16zpallagi.csv,16,"N19500,N19570,A19570,A19500,N18800,N19550,A19530,A21020,A18800,A17000,A20800,N19530,N21020,N20800,N17000,A19550"
