Shared_Vars
N04800
A11902
A00650
N02300
MARS4
N18425
N07180
N00200
A00101
N07100
A03300
N19300
A00100
A00200
A59720
A02300
N00900
N09600
A59660
A19700
SCHF
N19700
N59720
A06500
N1
NUMDEP
N01400
N01700
A00900
A07180
A18300
A01400
A07260
N59660
A00600
MARS1
A01700
N01000
N03300
N18450
N07260
A09600
A04800
N00300
A18425
A01000
N10300
N11902
N18300
MARS2
A19300
A18450
N07220
A07220
N04470
PREP
STATEFIPS
A18500
N18500
A07100
N11901
N11070
N2
A11901
A04470
A10300
A11070
AGI_STUB
N06500
STATE
ZIPCODE
A00300
N00600
N00650
N02500
A02500
