Year,Filename,Num_Unique_Vars,Unique_Vars
2017,17zpallagi.csv,14,"N03230,A01400,N01700,N03240,A20800,A07220,N19550,A03240,A19550,N20800,A01700,N07220,A03230,N01400"
2018,18zpallagi.csv,14,"A04100,N07225,N04200,A18460,N04475,N01750,A07225,N18460,A04450,N04450,A04200,N04100,A04475,A01750"
