Shared_Vars
A07260
A03240
A00101
N59720
N18300
N10600
N01400
TOTAL_VITA
A03270
N07240
N03270
A19700
N07300
A09600
N11902
A03210
N11901
N85770
N00300
N00900
N02300
A00300
A03220
N10300
N19700
MARS4
N07230
N85530
N07180
PREP
A85300
A18300
A02900
A00600
N03240
STATEFIPS
N06500
N05800
N03210
N09400
N00650
N19300
N01000
NUMDEP
A10600
A19300
A00100
A10300
A02500
A11560
A05780
N09600
N59660
N03300
A07230
A26270
A06500
A00200
A85530
A10960
A09400
VITA
A01400
A03150
A07100
A59660
A07300
A01000
N04470
N11560
ZIPCODE
A01700
A04470
N26270
N02900
A07220
STATE
A11901
A07180
A18425
N00200
A00700
A85775
N05780
A59720
A04800
A00900
A11070
N02650
N02500
N09750
A03300
N01700
A85770
TCE
A07240
N03220
A09750
AGI_STUB
N10960
A02650
MARS1
A02300
N03150
A03230
A11902
N00700
N07100
N85775
N1
N04800
N18500
A00650
N18425
N85300
N03230
N18450
N11070
N00600
N07220
A18500
A18450
A05800
N2
MARS2
N07260
SCHF
