Shared_Vars
A10300
PREP
A04470
A19700
N00650
A00300
A07100
N11902
A09600
N01000
N18500
A18500
A11901
A18300
A59720
N59720
N07180
A07260
N09600
A02500
AGI_STUB
N11070
A18425
N10300
ZIPCODE
A02300
A00900
MARS2
N18425
A59660
N02500
A07180
A11902
N00600
A00650
A00600
STATE
N07100
A00100
N03300
A06500
N11901
N00300
N02300
N18450
N04470
N19700
N00200
A03300
SCHF
N18300
N07260
N1
N2
A00200
A01000
A18450
STATEFIPS
A19300
N59660
A11070
N19300
N04800
N06500
N00900
A04800
