"zip","YEAR","BUILDING_SUBTYPE","Latitude","Longitude","THERMS.PER.SQFT","KWH.PER.SQFT","THERM.WINTER","THERM.JANUARY.2010","THERM.FEBRUARY.2010","THERM.NOVEMBER.2010","THERM.DECEMBER.2010","TOTAL.THERMS","THERMS.TOTAL.SQFT","TOTAL.KWH","KWH.TOTAL.SQFT","TOTAL.UNITS","OCCUPIED.HOUSING.UNITS","RENTER.OCCUPIED.HOUSING.UNITS","RATIO.OWNED","AVERAGE.STORIES","AVERAGE.BUILDING.AGE","AVERAGE.HOUSESIZE","STATE","RETURN_YEAR","N1","MARS2","PREP","N2","A00100","A00100_av","N00200","N00200_av","A00200","A00200_av","N00300","N00300_av","A00300","A00300_av","N00600","N00600_av","A00600","A00600_av","N00650","N00650_av","A00650","A00650_av","N00900","N00900_av","A00900","A00900_av","N01000","N01000_av","A01000","A01000_av","N01400","N01400_av","A01400","A01400_av","N01700","N01700_av","A01700","A01700_av","SCHF","SCHF_av","N02300","N02300_av","A02300","A02300_av","N02500","N02500_av","A02500","A02500_av","N03300","N03300_av","A03300","A03300_av","N04470","N04470_av","A04470","A04470_av","N18425","N18425_av","A18425","A18425_av","N18450","N18450_av","A18450","A18450_av","N18500","N18500_av","A18500","A18500_av","N18300","N18300_av","A18300","A18300_av","N19300","N19300_av","A19300","A19300_av","N19700","N19700_av","A19700","A19700_av","N04800","N04800_av","A04800","A04800_av","N09600","N09600_av","A09600","A09600_av","N07100","N07100_av","A07100","A07100_av","N07180","N07180_av","A07180","A07180_av","N07260","N07260_av","A07260","A07260_av","N59660","N59660_av","A59660","A59660_av","N59720","N59720_av","A59720","A59720_av","N11070","N11070_av","A11070","A11070_av","N06500","N06500_av","A06500","A06500_av","N10300","N10300_av","A10300","A10300_av","N11901","N11901_av","A11901","A11901_av","N11902","N11902_av","A11902","A11902_av","NUMDEP","NUMDEP_av"
"60068",2010,"Single Family",42.01579,-87.84283,0.912478731914947,6.41314945521592,1685269,637262,506191,159599,382217,2779621,3046231,18817399,2934190,3012,2876,527,0.779880478087649,1.34525974025974,69.8283766233766,2.72315789473684,"IL",2009,18641,8690,11477,37497,1770752,94.9923287377287,14171,0.760205997532321,1162254,62.3493374818948,12552,0.673354433775012,54065,2.90032723566332,9043,0.485113459578349,58445,3.13529317096722,8174,0.438495788852529,45250,2.42744487956655,3277,0.175795289952256,63457,3.40416286679899,6216,0.333458505444987,65607,3.5195000268226,2269,0.121720937717934,37528,2.01319671691433,4298,0.23056702966579,103560,5.5554959497881,28,0.00150206533984228,1130,0.0606190655007779,11142,0.597714714875811,3381,0.181374389785956,45923,2.46354809291347,395,0.0211898503299179,9532,0.51134595783488,10097,0.541655490585269,322777,17.3154337213669,6979,0.374389785955689,40321,2.1630277345636,2013,0.107987768896518,2622,0.140657690038088,9599,0.51494018561236,85691,4.59691003701518,10078,0.540636231961805,137873,7.39622337857411,7187,0.385547985623089,106516,5.71407113352288,8990,0.48227026447079,33534,1.79893782522397,14712,0.789228045705702,1287148,69.0492999302613,1782,0.0955957298428196,8131,0.436189045652057,6849,0.367415911163564,8327,0.446703503030953,729,0.039107344026608,373,0.0200096561343276,1473,0.0790193659138458,1353,0.0725819430288075,1140,0.0611555174078644,1850,0.099243602811008,820,0.0439890563810954,1301,0.0697923931119575,920,0.0493535754519607,1198,0.0642669384689663,13536,0.726141301432327,275308,14.7689501636178,14549,0.780483879620192,289170,15.5125797972212,3828,0.205353790032724,23834,1.27857947535003,12391,0.664717558070919,48483,2.60087978112762,12123,0.650340646961
"60068",2010,"All",42.01579,-87.84283,0.890122702837352,5.92865616764114,2006949,751109,599929,195252,460659,3323193,3733410,21094046,3557981,4921,4634,1342,0.668969721601301,1.52307291666667,66.2290104166667,2.55829787234043,"IL",2009,18641,8690,11477,37497,1770752,94.9923287377287,14171,0.760205997532321,1162254,62.3493374818948,12552,0.673354433775012,54065,2.90032723566332,9043,0.485113459578349,58445,3.13529317096722,8174,0.438495788852529,45250,2.42744487956655,3277,0.175795289952256,63457,3.40416286679899,6216,0.333458505444987,65607,3.5195000268226,2269,0.121720937717934,37528,2.01319671691433,4298,0.23056702966579,103560,5.5554959497881,28,0.00150206533984228,1130,0.0606190655007779,11142,0.597714714875811,3381,0.181374389785956,45923,2.46354809291347,395,0.0211898503299179,9532,0.51134595783488,10097,0.541655490585269,322777,17.3154337213669,6979,0.374389785955689,40321,2.1630277345636,2013,0.107987768896518,2622,0.140657690038088,9599,0.51494018561236,85691,4.59691003701518,10078,0.540636231961805,137873,7.39622337857411,7187,0.385547985623089,106516,5.71407113352288,8990,0.48227026447079,33534,1.79893782522397,14712,0.789228045705702,1287148,69.0492999302613,1782,0.0955957298428196,8131,0.436189045652057,6849,0.367415911163564,8327,0.446703503030953,729,0.039107344026608,373,0.0200096561343276,1473,0.0790193659138458,1353,0.0725819430288075,1140,0.0611555174078644,1850,0.099243602811008,820,0.0439890563810954,1301,0.0697923931119575,920,0.0493535754519607,1198,0.0642669384689663,13536,0.726141301432327,275308,14.7689501636178,14549,0.780483879620192,289170,15.5125797972212,3828,0.205353790032724,23834,1.27857947535003,12391,0.664717558070919,48483,2.60087978112762,12123,0.650340646961
"60171",2010,"Single Family",41.92299,-87.83988,0.861286050013799,6.63603058792963,572877,196698,164496,60540,151143,901931,1047191,6845185,1031518,918,881,109,0.840958605664488,1.22044117647059,57.0914705882353,2.68397058823529,"IL",2009,5223,1760,3161,9637,192639,36.8828259620908,3838,0.734826727934138,145512,27.8598506605399,2147,0.411066436913651,3290,0.629906184185334,760,0.145510243155275,1487,0.28470227838407,650,0.124449550067011,831,0.159103963239518,1241,0.237602910204863,11229,2.14991384261918,407,0.0779245644265748,366,0.0700746697300402,380,0.0727551215776374,4135,0.791690599272449,828,0.158529580700747,12877,2.46544131725062,0,0,435,0.0832854681217691,3970,0.760099559640054,467,0.0894122152019912,4365,0.835726593911545,0,0,0,0,1425,0.27283170591614,27233,5.21405322611526,1038,0.198736358414704,2148,0.411257897759908,283,0.0541834194907141,338,0.0647137660348459,1300,0.248899100134023,5403,1.03446295232625,1416,0.271108558299828,8300,1.58912502393261,1181,0.226115259429447,11811,2.26134405514072,1082,0.20716063565001,2055,0.393452039058013,3724,0.713000191460846,109027,20.8744016848554,21,0.00402067777139575,38,0.00727551215776374,1558,0.298295998468313,1737,0.332567489948306,138,0.0264215967834578,79,0.0151254068542983,279,0.0534175761056864,208,0.0398238560214436,1096,0.209841087497607,1991,0.381198544897568,745,0.142638330461421,1362,0.260769672601953,680,0.13019337545472,826,0.158146659008233,3243,0.620907524411258,14867,2.84644840130193,4029,0.771395749569213,16814,3.2192226689642,1024,0.196055906567107,1284,0.245835726593912,3886,0.744016848554471,10131,1.93968983342906,2794,0.534941604441892
"60171",2010,"All",41.92299,-87.83988,0.859975648254172,6.49896541367791,601880,206468,172570,63911,158931,948554,1103001,7054354,1085458,1020,976,166,0.794117647058823,1.26337837837838,55.2890540540541,2.65216216216216,"IL",2009,5223,1760,3161,9637,192639,36.8828259620908,3838,0.734826727934138,145512,27.8598506605399,2147,0.411066436913651,3290,0.629906184185334,760,0.145510243155275,1487,0.28470227838407,650,0.124449550067011,831,0.159103963239518,1241,0.237602910204863,11229,2.14991384261918,407,0.0779245644265748,366,0.0700746697300402,380,0.0727551215776374,4135,0.791690599272449,828,0.158529580700747,12877,2.46544131725062,0,0,435,0.0832854681217691,3970,0.760099559640054,467,0.0894122152019912,4365,0.835726593911545,0,0,0,0,1425,0.27283170591614,27233,5.21405322611526,1038,0.198736358414704,2148,0.411257897759908,283,0.0541834194907141,338,0.0647137660348459,1300,0.248899100134023,5403,1.03446295232625,1416,0.271108558299828,8300,1.58912502393261,1181,0.226115259429447,11811,2.26134405514072,1082,0.20716063565001,2055,0.393452039058013,3724,0.713000191460846,109027,20.8744016848554,21,0.00402067777139575,38,0.00727551215776374,1558,0.298295998468313,1737,0.332567489948306,138,0.0264215967834578,79,0.0151254068542983,279,0.0534175761056864,208,0.0398238560214436,1096,0.209841087497607,1991,0.381198544897568,745,0.142638330461421,1362,0.260769672601953,680,0.13019337545472,826,0.158146659008233,3243,0.620907524411258,14867,2.84644840130193,4029,0.771395749569213,16814,3.2192226689642,1024,0.196055906567107,1284,0.245835726593912,3886,0.744016848554471,10131,1.93968983342906,2794,0.534941604441892
"60406",2010,"Single Family",41.65123,-87.68227,0.96587846721375,7.38941348798003,787808,273325,235793,74008,204682,1270928,1315826,9625317,1302582,1119,1072,105,0.864164432529044,1.30227848101266,58.0862025316456,2.59810126582278,"IL",2009,10812,2760,6703,24954,355240,32.8560858305586,9464,0.875323714391417,299156,27.6688864224935,2633,0.243525712171661,2978,0.27543470218276,814,0.0752867184609693,1285,0.118849426563078,658,0.0608583055863855,895,0.0827783943766186,1300,0.120236773954865,6180,0.571587125416204,394,0.036440991490936,1183,0.109415464298927,422,0.0390307066222716,4169,0.38559008509064,1688,0.156122826489086,23156,2.1416944136145,0,0,1476,0.136514983351831,13774,1.27395486496485,601,0.0555863854975953,5204,0.481317055123936,0,0,0,0,2341,0.216518682944876,40865,3.77959674435812,1867,0.17267850536441,3285,0.303829078801332,306,0.0283018867924528,415,0.0383832778394377,1948,0.180170181280059,7041,0.651220865704772,2337,0.2161487236404,11385,1.05299667036626,1866,0.172586015538291,14743,1.36357750647429,1854,0.171476137624861,5324,0.492415834258232,7371,0.681742508324084,178025,16.4655012948576,37,0.0034221235664077,58,0.00536440991490936,3822,0.353496115427303,4155,0.384295227524972,610,0.0564187939326674,385,0.0356085830558639,477,0.0441176470588235,329,0.0304291527931927,3180,0.294117647058824,7797,0.721143174250832,2913,0.269422863485017,6922,0.640214576396596,3300,0.305216426193119,4702,0.434887162412135,5569,0.515075841657418,21591,1.99694783573807,6455,0.597021827598964,23287,2.15381058083611,894,0.0826859045504994,1338,0.123751387347392,9632,0.89086200517943,30518,2.82260451350351,9855,0.911487236403996
"60406",2010,"All",41.65123,-87.68227,0.963826255866963,7.26515989537719,815360,282638,243571,76888,212263,1315885,1365272,9838465,1354198,1249,1192,153,0.831865492393915,1.34024096385542,58.6406024096386,2.56578313253012,"IL",2009,10812,2760,6703,24954,355240,32.8560858305586,9464,0.875323714391417,299156,27.6688864224935,2633,0.243525712171661,2978,0.27543470218276,814,0.0752867184609693,1285,0.118849426563078,658,0.0608583055863855,895,0.0827783943766186,1300,0.120236773954865,6180,0.571587125416204,394,0.036440991490936,1183,0.109415464298927,422,0.0390307066222716,4169,0.38559008509064,1688,0.156122826489086,23156,2.1416944136145,0,0,1476,0.136514983351831,13774,1.27395486496485,601,0.0555863854975953,5204,0.481317055123936,0,0,0,0,2341,0.216518682944876,40865,3.77959674435812,1867,0.17267850536441,3285,0.303829078801332,306,0.0283018867924528,415,0.0383832778394377,1948,0.180170181280059,7041,0.651220865704772,2337,0.2161487236404,11385,1.05299667036626,1866,0.172586015538291,14743,1.36357750647429,1854,0.171476137624861,5324,0.492415834258232,7371,0.681742508324084,178025,16.4655012948576,37,0.0034221235664077,58,0.00536440991490936,3822,0.353496115427303,4155,0.384295227524972,610,0.0564187939326674,385,0.0356085830558639,477,0.0441176470588235,329,0.0304291527931927,3180,0.294117647058824,7797,0.721143174250832,2913,0.269422863485017,6922,0.640214576396596,3300,0.305216426193119,4702,0.434887162412135,5569,0.515075841657418,21591,1.99694783573807,6455,0.597021827598964,23287,2.15381058083611,894,0.0826859045504994,1338,0.123751387347392,9632,0.89086200517943,30518,2.82260451350351,9855,0.911487236403996
"60453",2010,"Single Family",41.70891,-87.75952,0.953976468027351,8.32661020871917,1227071,468568,367183,112545,278775,2068573,2168369,17232944,2069623,1974,1917,68,0.936676798378926,1.21863636363636,50.6198484848485,2.74227272727273,"IL",2009,28311,10535,16953,54266,1416318,50.0271272650207,22038,0.778425347038254,1043613,36.8624562890749,14177,0.50075942213274,37424,1.32188901840274,7308,0.25813288121225,21922,0.774327999717424,6273,0.221574652961746,16346,0.577372752640317,3654,0.129066440606125,40818,1.44177174949666,3818,0.134859241990746,7143,0.252304757867967,2871,0.101409346190527,30746,1.08600897177775,6961,0.245876161209424,140203,4.95224471053654,0,0,2584,0.0912719437674402,24291,0.858005722157465,4040,0.142700717035781,41734,1.47412666454735,87,0.00307301049062202,1137,0.0401610681360602,10710,0.378298187983469,211802,7.48126170039914,7589,0.268058351877362,19989,0.706050651690156,1886,0.0666172159231394,2233,0.0788739359259652,10060,0.35533891420296,45381,1.60294585143584,10678,0.377167885274275,73045,2.58009254353432,8841,0.312281445374589,82412,2.91095333969129,9092,0.321147257249832,20075,0.709088340221115,21768,0.768888417929427,906110,32.0055808696266,349,0.0123273639221504,1093,0.038606901910918,9453,0.33389848468793,11927,0.421285012892515,848,0.0299530217936491,459,0.0162127794850058,2335,0.082476775811522,1793,0.0633322736745435,3758,0.132739924411006,8183,0.289039595916781,3138,0.110840309420367,6384,0.225495390484264,2818,0.0995372823284236,3748,0.132386704814383,19559,0.690862209035357,140326,4.95658931157501,21345,0.753947228992265,147891,5.22379993642047,4074,0.1439016636643,10943,0.38652820458479,22410,0.791565116032637,66182,2.3376779343718,16822,0.594186005439582
"60453",2010,"All",41.70891,-87.75952,0.95327379254633,8.32622984622347,1229082,469312,367802,112748,279220,2072177,2173748,17403827,2090241,2070,2009,75,0.934299516908213,1.26710144927536,51.0131884057971,2.73507246376812,"IL",2009,28311,10535,16953,54266,1416318,50.0271272650207,22038,0.778425347038254,1043613,36.8624562890749,14177,0.50075942213274,37424,1.32188901840274,7308,0.25813288121225,21922,0.774327999717424,6273,0.221574652961746,16346,0.577372752640317,3654,0.129066440606125,40818,1.44177174949666,3818,0.134859241990746,7143,0.252304757867967,2871,0.101409346190527,30746,1.08600897177775,6961,0.245876161209424,140203,4.95224471053654,0,0,2584,0.0912719437674402,24291,0.858005722157465,4040,0.142700717035781,41734,1.47412666454735,87,0.00307301049062202,1137,0.0401610681360602,10710,0.378298187983469,211802,7.48126170039914,7589,0.268058351877362,19989,0.706050651690156,1886,0.0666172159231394,2233,0.0788739359259652,10060,0.35533891420296,45381,1.60294585143584,10678,0.377167885274275,73045,2.58009254353432,8841,0.312281445374589,82412,2.91095333969129,9092,0.321147257249832,20075,0.709088340221115,21768,0.768888417929427,906110,32.0055808696266,349,0.0123273639221504,1093,0.038606901910918,9453,0.33389848468793,11927,0.421285012892515,848,0.0299530217936491,459,0.0162127794850058,2335,0.082476775811522,1793,0.0633322736745435,3758,0.132739924411006,8183,0.289039595916781,3138,0.110840309420367,6384,0.225495390484264,2818,0.0995372823284236,3748,0.132386704814383,19559,0.690862209035357,140326,4.95658931157501,21345,0.753947228992265,147891,5.22379993642047,4074,0.1439016636643,10943,0.38652820458479,22410,0.791565116032637,66182,2.3376779343718,16822,0.594186005439582
"60605",2010,"Single Family",41.86467,-87.61999,0.480752148853611,4.67721173752817,426574,156945,63477,58938,147214,719835,1497310,6748239,1442791,5212,4558,1373,0.611089792785879,1.14428571428571,1.42571428571429,1.94619047619048,"IL",2009,11499,3019,5439,16610,1193398,103.782763718584,10267,0.89286024871728,973888,84.6932776763197,6295,0.547438907731107,16346,1.42151491434038,4032,0.350639186016175,17383,1.51169666927559,3613,0.31420123488999,11344,0.986520567005827,1982,0.172362814157753,39707,3.45308287677189,2877,0.250195669188625,60272,5.24149926080529,566,0.0492216714496913,12304,1.07000608748587,1416,0.123141142708062,40970,3.56291851465345,0,0,708,0.0615705713540308,5922,0.515001304461257,627,0.0545264805635273,8398,0.730324376032699,213,0.0185233498565093,4646,0.404035133489869,5860,0.509609531263588,166647,14.4923036785807,4768,0.414644751717541,27309,2.37490216540569,554,0.0481781024436908,937,0.0814853465518741,4929,0.428645969214714,25191,2.1907122358466,5837,0.50760935733542,57492,4.9997391077485,4875,0.423949908687712,74468,6.4760413949039,4790,0.416557961561875,18883,1.64214279502565,10290,0.894860422645447,938480,81.6140533959475,676,0.0587877206713627,2641,0.229672145403948,2945,0.256109226889295,4380,0.38090268719019,297,0.0258283328985129,169,0.0146969301678407,278,0.0241760153056788,246,0.0213931646230107,545,0.0473954256891904,527,0.0458300721801896,408,0.0354813462040177,417,0.0362640229585181,170,0.0147838942516741,197,0.0171319245151752,9897,0.86068353769893,208039,18.0919210366119,10212,0.888077224106444,215265,18.7203235063919,2308,0.200713105487434,12667,1.10157404991738,8597,0.747630228715541,32237,2.80346117053657,2272,0.197582398469432
"60605",2010,"All",41.86467,-87.61999,0.451623862005919,4.19221713949326,795366,267308,162371,110514,255173,1350662,2990679,12206072,2911603,9041,7774,3164,0.509899347417321,3.06837837837838,18.71,1.90108108108108,"IL",2009,11499,3019,5439,16610,1193398,103.782763718584,10267,0.89286024871728,973888,84.6932776763197,6295,0.547438907731107,16346,1.42151491434038,4032,0.350639186016175,17383,1.51169666927559,3613,0.31420123488999,11344,0.986520567005827,1982,0.172362814157753,39707,3.45308287677189,2877,0.250195669188625,60272,5.24149926080529,566,0.0492216714496913,12304,1.07000608748587,1416,0.123141142708062,40970,3.56291851465345,0,0,708,0.0615705713540308,5922,0.515001304461257,627,0.0545264805635273,8398,0.730324376032699,213,0.0185233498565093,4646,0.404035133489869,5860,0.509609531263588,166647,14.4923036785807,4768,0.414644751717541,27309,2.37490216540569,554,0.0481781024436908,937,0.0814853465518741,4929,0.428645969214714,25191,2.1907122358466,5837,0.50760935733542,57492,4.9997391077485,4875,0.423949908687712,74468,6.4760413949039,4790,0.416557961561875,18883,1.64214279502565,10290,0.894860422645447,938480,81.6140533959475,676,0.0587877206713627,2641,0.229672145403948,2945,0.256109226889295,4380,0.38090268719019,297,0.0258283328985129,169,0.0146969301678407,278,0.0241760153056788,246,0.0213931646230107,545,0.0473954256891904,527,0.0458300721801896,408,0.0354813462040177,417,0.0362640229585181,170,0.0147838942516741,197,0.0171319245151752,9897,0.86068353769893,208039,18.0919210366119,10212,0.888077224106444,215265,18.7203235063919,2308,0.200713105487434,12667,1.10157404991738,8597,0.747630228715541,32237,2.80346117053657,2272,0.197582398469432
