"ZIPCODE","STATE","YEAR","Latitude","Longitude","A00100","A07260"
48754,"MI",2009,43.72,-83.26,15213,23
48755,"MI",2009,43.82,-83.27,72082,128
48756,"MI",2009,44.19,-83.93,41883,56
48757,"MI",2009,43.45,-83.68,80354,125
48759,"MI",2009,43.73,-83.45,62940,130
48760,"MI",2009,43.3,-83.27,19069,38
48761,"MI",2009,44.46,-83.88,10869,29
48762,"MI",2009,44.83,-83.46,21259,45
48763,"MI",2009,44.27,-83.51,83212,131
48765,"MI",2009,44.14,-83.78,10074,17
48766,"MI",2009,44.11,-83.8,15861,28
48767,"MI",2009,43.65,-83.46,44162,107
48768,"MI",2009,43.37,-83.57,171332,279
48770,"MI",2009,44.23,-83.8,23399,46
48801,"MI",2009,43.37,-84.65,222243,248
48806,"MI",2009,43.18,-84.47,29598,60
48807,"MI",2009,43.13,-84.42,13050,18
48808,"MI",2009,42.81,-84.44,139349,160
48809,"MI",2009,43.09,-85.23,180494,203
48811,"MI",2009,43.17,-84.84,49872,82
48813,"MI",2009,42.56,-84.83,429300,711
48815,"MI",2009,42.84,-85.24,51037,91
48817,"MI",2009,42.98,-84.11,105003,133
48818,"MI",2009,43.26,-84.91,33913,41
48819,"MI",2009,42.55,-84.3,61575,78
48820,"MI",2009,42.86,-84.59,512610,565
48821,"MI",2009,42.64,-84.64,170913,242
48822,"MI",2009,42.8,-84.79,75122,124
48823,"MI",2009,42.76,-84.46,1142784,939
48827,"MI",2009,42.51,-84.65,338749,527
48829,"MI",2009,43.4,-85.03,44794,72
48831,"MI",2009,43.08,-84.39,60572,102
48832,"MI",2009,43.42,-84.76,22739,36
48834,"MI",2009,43.14,-85.08,32469,45
48835,"MI",2009,43,-84.74,56073,92
48836,"MI",2009,42.66,-84.07,278160,354
48837,"MI",2009,42.75,-84.74,491472,600
48838,"MI",2009,43.17,-85.25,303910,373
48840,"MI",2009,42.75,-84.4,362737,408
48841,"MI",2009,43.11,-84.24,16150,20
48842,"MI",2009,42.63,-84.52,498316,490
48843,"MI",2009,42.6,-83.93,1079168,1091
48845,"MI",2009,43.09,-84.84,14632,27
48846,"MI",2009,42.98,-85.05,240662,366
48847,"MI",2009,43.29,-84.6,111581,176
48848,"MI",2009,42.89,-84.34,195764,307
48849,"MI",2009,42.78,-85.13,108745,217
48850,"MI",2009,43.44,-85.27,63148,91
48851,"MI",2009,42.98,-84.94,45959,85
48854,"MI",2009,42.58,-84.44,466195,619
48855,"MI",2009,42.69,-83.88,373784,434
48856,"MI",2009,43.16,-84.77,17492,21
48857,"MI",2009,42.83,-84.17,47905,67
48858,"MI",2009,43.59,-84.77,698155,848
48860,"MI",2009,43.05,-84.91,22727,23
48861,"MI",2009,42.76,-84.89,32630,48
48864,"MI",2009,42.7,-84.41,837062,755
48865,"MI",2009,43.06,-85.13,25702,30
48866,"MI",2009,43,-84.37,81412,139
48867,"MI",2009,42.99,-84.17,484680,710
48871,"MI",2009,43.18,-84.67,43264,54
48872,"MI",2009,42.82,-84.22,156845,211
48873,"MI",2009,43,-84.84,32156,52
48875,"MI",2009,42.87,-84.9,224960,345
48876,"MI",2009,42.64,-84.73,81392,90
48877,"MI",2009,43.38,-84.83,34424,50
48878,"MI",2009,43.69,-84.76,30921,60
48879,"MI",2009,43,-84.55,401330,554
